Longcode	State	District	Stateabbrev	Rep	PVI	Simplecook	Cookrating	Party	Code	Score	urban	rural	ag	manufacturing	rich	poverty	white	nonwhite	black	hispanic	nonhispanicwhite	old
5001300US0611	California	11	CA	OPEN (Miller)	D+17	Safe Dem	Solid Dem	Dem	CA-11	11	99.4	0.6	1	6.4	35.8	9.2	64.6	35.4	9.4	25.5	48.1	27.2
5001300US0612	California	12	CA	Rep. Nancy Pelosi	D+34	Safe Dem	Solid Dem	Dem	CA-12	11	100	0	0.1	5.6	38.8	9.1	51.8	48.2	5.8	14.6	44.1	25.9
5001300US0613	California	13	CA	Rep. Barbara Lee	D+37	Safe Dem	Solid Dem	Dem	CA-13	11	100	0	0.4	7.2	28	13.8	46.1	53.9	17.9	22.1	34.1	24.2
5001300US0614	California	14	CA	Rep. Jackie Speier	D+23	Safe Dem	Solid Dem	Dem	CA-14	11	99.2	0.8	0.3	6.4	39.2	6.4	49.8	50.2	3.3	24.7	35.3	27.1
5001300US0615	California	15	CA	Rep. Eric Swalwell	D+16	Safe Dem	Solid Dem	Dem	CA-15	11	99.3	0.7	0.3	12.7	44.7	6.4	49.9	50.1	6.9	23	36.2	23.2
5001300US0616	California	16	CA	Rep. Jim Costa	D+7	Safe Dem	Likely Dem	Dem	CA-16	10	90.4	9.6	15.3	9.8	11	27.3	53.8	46.2	6.4	59.1	22.7	18.3
5001300US0617	California	17	CA	Rep. Mike Honda	D+20	Safe Dem	Solid Dem	Dem	CA-17	11	99.7	0.3	0.1	22.5	50.9	6.3	33.7	66.3	3	17.2	25.1	21.3
5001300US0618	California	18	CA	Rep. Anna Eshoo	D+18	Safe Dem	Solid Dem	Dem	CA-18	11	95.6	4.4	0.5	16.1	50.8	4.6	68.2	31.8	1.9	17.5	56.4	26.5
5001300US0619	California	19	CA	Rep. Zoe Lofgren	D+19	Safe Dem	Solid Dem	Dem	CA-19	11	98.3	1.7	0.6	17.5	37.4	10.3	50.3	49.7	2.9	40.8	26.7	21.2
5001300US0620	California	20	CA	Rep. Sam Farr	D+21	Safe Dem	Solid Dem	Dem	CA-20	11	90.1	9.9	14.7	5.7	26.6	12.2	77	23	2.1	51.7	38.3	22.7
5001300US0621	California	21	CA	Rep. David Valadao	D+2	At-risk Rep	Lean Rep	Rep	CA-21	3	85.2	14.8	29.2	7.5	9.9	28.1	66.1	33.9	4.4	72.7	18.3	16.2
5001300US0622	California	22	CA	Rep. Devin Nunes	R+10	Safe Rep	Solid Rep	Rep	CA-22	5	91.7	8.3	8.7	6.5	21.4	19.5	72.1	27.9	3.1	45.1	42.4	20.7
5001300US0623	California	23	CA	Rep. Kevin McCarthy	R+16	Safe Rep	Solid Rep	Rep	CA-23	5	87.1	12.9	10	6.1	21.6	15.1	74.7	25.3	5.6	37.2	49.3	22.6
5001300US0624	California	24	CA	Rep. Lois Capps	D+4	Safe Dem	Likely Dem	Dem	CA-24	10	90.4	9.6	6.2	7.7	27.1	9.2	78	22	2	35.1	55.9	26.7
